Respondent ID,OpenEnded_Start_1,OpenEnded_Continue_1,OpenEnded_Stop_1,OpenEnded_AnythingElse_1
34,Training and development options could expand.,More flexibility in work hours would help.,Processes can be simplified.,The tools we use could be improved.
35,I enjoy the team culture.,Training and development options could expand.,Sometimes deadlines feel too tight.,I like the collaboration within my team.
36,Training and development options could expand.,I like the collaboration within my team.,The tools we use could be improved.,I am satisfied with my growth opportunities.
37,No additional comments.,Sometimes deadlines feel too tight.,I like the collaboration within my team.,I feel supported by my manager.
38,I feel supported by my manager.,Workload is manageable overall.,More recognition for good work would be great.,Sometimes deadlines feel too tight.
39,I enjoy the team culture.,I appreciate the transparency from leadership.,I am satisfied with my growth opportunities.,I feel supported by my manager.
40,I enjoy the team culture.,No additional comments.,Workload is manageable overall.,We need clearer goals and priorities.
41,I am satisfied with my growth opportunities.,More flexibility in work hours would help.,Workload is manageable overall.,Processes can be simplified.
42,We need clearer goals and priorities.,We need clearer goals and priorities.,I feel supported by my manager.,Communication between teams could be better.
43,Workload is manageable overall.,Workload is manageable overall.,More recognition for good work would be great.,The tools we use could be improved.
44,I like the collaboration within my team.,We need clearer goals and priorities.,I am satisfied with my growth opportunities.,I like the collaboration within my team.
45,Processes can be simplified.,Processes can be simplified.,No additional comments.,I enjoy the team culture.
46,Communication between teams could be better.,More flexibility in work hours would help.,I appreciate the transparency from leadership.,Communication between teams could be better.
47,I like the collaboration within my team.,I am satisfied with my growth opportunities.,I feel supported by my manager.,More recognition for good work would be great.
48,Training and development options could expand.,More flexibility in work hours would help.,More flexibility in work hours would help.,Sometimes deadlines feel too tight.
49,I appreciate the transparency from leadership.,Processes can be simplified.,We need clearer goals and priorities.,I appreciate the transparency from leadership.
50,I feel supported by my manager.,The tools we use could be improved.,I feel supported by my manager.,More flexibility in work hours would help.
51,Workload is manageable overall.,I appreciate the transparency from leadership.,I like the collaboration within my team.,More recognition for good work would be great.
52,No additional comments.,Sometimes deadlines feel too tight.,Training and development options could expand.,We need clearer goals and priorities.
53,I am satisfied with my growth opportunities.,I appreciate the transparency from leadership.,I enjoy the team culture.,I appreciate the transparency from leadership.
54,Processes can be simplified.,Processes can be simplified.,I am satisfied with my growth opportunities.,No additional comments.
55,More recognition for good work would be great.,I am satisfied with my growth opportunities.,I am satisfied with my growth opportunities.,I enjoy the team culture.
56,Training and development options could expand.,No additional comments.,I feel supported by my manager.,I appreciate the transparency from leadership.
57,More recognition for good work would be great.,We need clearer goals and priorities.,Sometimes deadlines feel too tight.,No additional comments.
58,I am satisfied with my growth opportunities.,I am satisfied with my growth opportunities.,I feel supported by my manager.,I enjoy the team culture.
59,No additional comments.,Training and development options could expand.,We need clearer goals and priorities.,We need clearer goals and priorities.
60,I feel supported by my manager.,More recognition for good work would be great.,I am satisfied with my growth opportunities.,I am satisfied with my growth opportunities.
61,More flexibility in work hours would help.,I appreciate the transparency from leadership.,We need clearer goals and priorities.,More recognition for good work would be great.
62,I am satisfied with my growth opportunities.,No additional comments.,Sometimes deadlines feel too tight.,Training and development options could expand.
63,I like the collaboration within my team.,Sometimes deadlines feel too tight.,Communication between teams could be better.,I like the collaboration within my team.
64,Processes can be simplified.,The tools we use could be improved.,Workload is manageable overall.,I am satisfied with my growth opportunities.
65,I appreciate the transparency from leadership.,The tools we use could be improved.,Sometimes deadlines feel too tight.,Communication between teams could be better.
66,More flexibility in work hours would help.,I enjoy the team culture.,The tools we use could be improved.,More flexibility in work hours would help.
67,Sometimes deadlines feel too tight.,I feel supported by my manager.,No additional comments.,Communication between teams could be better.
68,More flexibility in work hours would help.,Communication between teams could be better.,Processes can be simplified.,I am satisfied with my growth opportunities.
69,No additional comments.,Communication between teams could be better.,More recognition for good work would be great.,Sometimes deadlines feel too tight.
70,More recognition for good work would be great.,I appreciate the transparency from leadership.,Processes can be simplified.,I appreciate the transparency from leadership.
71,More flexibility in work hours would help.,No additional comments.,No additional comments.,We need clearer goals and priorities.
72,Training and development options could expand.,The tools we use could be improved.,I am satisfied with my growth opportunities.,I am satisfied with my growth opportunities.
73,No additional comments.,Training and development options could expand.,Sometimes deadlines feel too tight.,I like the collaboration within my team.
74,I appreciate the transparency from leadership.,Processes can be simplified.,We need clearer goals and priorities.,I appreciate the transparency from leadership.
75,More flexibility in work hours would help.,The tools we use could be improved.,Training and development options could expand.,Communication between teams could be better.
76,Training and development options could expand.,I enjoy the team culture.,Workload is manageable overall.,Sometimes deadlines feel too tight.
77,I like the collaboration within my team.,I enjoy the team culture.,Communication between teams could be better.,I appreciate the transparency from leadership.
78,Sometimes deadlines feel too tight.,We need clearer goals and priorities.,I feel supported by my manager.,No additional comments.
79,The tools we use could be improved.,Training and development options could expand.,We need clearer goals and priorities.,More flexibility in work hours would help.
80,I like the collaboration within my team.,The tools we use could be improved.,Workload is manageable overall.,Processes can be simplified.
81,More flexibility in work hours would help.,I appreciate the transparency from leadership.,Sometimes deadlines feel too tight.,I feel supported by my manager.
82,Communication between teams could be better.,I like the collaboration within my team.,No additional comments.,More recognition for good work would be great.
83,More recognition for good work would be great.,Communication between teams could be better.,The tools we use could be improved.,Training and development options could expand.
84,The tools we use could be improved.,I am satisfied with my growth opportunities.,I feel supported by my manager.,Communication between teams could be better.
85,Communication between teams could be better.,Training and development options could expand.,Processes can be simplified.,The tools we use could be improved.
86,I enjoy the team culture.,Communication between teams could be better.,Workload is manageable overall.,Sometimes deadlines feel too tight.
87,Processes can be simplified.,Workload is manageable overall.,No additional comments.,Processes can be simplified.
88,We need clearer goals and priorities.,I am satisfied with my growth opportunities.,No additional comments.,I like the collaboration within my team.
89,More flexibility in work hours would help.,I am satisfied with my growth opportunities.,I appreciate the transparency from leadership.,Workload is manageable overall.
90,No additional comments.,I enjoy the team culture.,Processes can be simplified.,More flexibility in work hours would help.
91,Sometimes deadlines feel too tight.,Processes can be simplified.,I enjoy the team culture.,Sometimes deadlines feel too tight.
92,We need clearer goals and priorities.,More recognition for good work would be great.,Workload is manageable overall.,I like the collaboration within my team.
93,I appreciate the transparency from leadership.,The tools we use could be improved.,The tools we use could be improved.,No additional comments.
94,No additional comments.,More recognition for good work would be great.,I enjoy the team culture.,I like the collaboration within my team.
95,I appreciate the transparency from leadership.,Sometimes deadlines feel too tight.,The tools we use could be improved.,I feel supported by my manager.
96,Workload is manageable overall.,Workload is manageable overall.,I am satisfied with my growth opportunities.,No additional comments.
97,Sometimes deadlines feel too tight.,I feel supported by my manager.,We need clearer goals and priorities.,I am satisfied with my growth opportunities.
98,Processes can be simplified.,The tools we use could be improved.,I am satisfied with my growth opportunities.,Sometimes deadlines feel too tight.
99,We need clearer goals and priorities.,I feel supported by my manager.,Sometimes deadlines feel too tight.,Workload is manageable overall.
100,I appreciate the transparency from leadership.,I am satisfied with my growth opportunities.,I like the collaboration within my team.,I enjoy the team culture.
101,I enjoy the team culture.,Sometimes deadlines feel too tight.,Processes can be simplified.,Workload is manageable overall.
102,I am satisfied with my growth opportunities.,Processes can be simplified.,I like the collaboration within my team.,I appreciate the transparency from leadership.
103,I feel supported by my manager.,I feel supported by my manager.,I am satisfied with my growth opportunities.,Workload is manageable overall.
104,More flexibility in work hours would help.,Processes can be simplified.,Training and development options could expand.,More flexibility in work hours would help.
105,Training and development options could expand.,More flexibility in work hours would help.,More flexibility in work hours would help.,The tools we use could be improved.
106,I feel supported by my manager.,Processes can be simplified.,I appreciate the transparency from leadership.,Workload is manageable overall.
107,Communication between teams could be better.,I appreciate the transparency from leadership.,More recognition for good work would be great.,Workload is manageable overall.
108,I enjoy the team culture.,No additional comments.,More recognition for good work would be great.,We need clearer goals and priorities.
109,Processes can be simplified.,More flexibility in work hours would help.,We need clearer goals and priorities.,I appreciate the transparency from leadership.
110,We need clearer goals and priorities.,Sometimes deadlines feel too tight.,I feel supported by my manager.,I enjoy the team culture.
111,I enjoy the team culture.,Processes can be simplified.,I am satisfied with my growth opportunities.,Sometimes deadlines feel too tight.
112,Training and development options could expand.,The tools we use could be improved.,No additional comments.,The tools we use could be improved.
113,I enjoy the team culture.,We need clearer goals and priorities.,I like the collaboration within my team.,More flexibility in work hours would help.
114,I appreciate the transparency from leadership.,More flexibility in work hours would help.,Workload is manageable overall.,Workload is manageable overall.
115,I am satisfied with my growth opportunities.,I am satisfied with my growth opportunities.,Workload is manageable overall.,The tools we use could be improved.
116,Training and development options could expand.,More flexibility in work hours would help.,More flexibility in work hours would help.,I enjoy the team culture.
117,No additional comments.,I enjoy the team culture.,Training and development options could expand.,More recognition for good work would be great.
118,I like the collaboration within my team.,I appreciate the transparency from leadership.,No additional comments.,Workload is manageable overall.
119,No additional comments.,More recognition for good work would be great.,I feel supported by my manager.,Sometimes deadlines feel too tight.
120,Training and development options could expand.,I feel supported by my manager.,More recognition for good work would be great.,Workload is manageable overall.
121,The tools we use could be improved.,I enjoy the team culture.,Processes can be simplified.,I am satisfied with my growth opportunities.
122,Communication between teams could be better.,Training and development options could expand.,I appreciate the transparency from leadership.,I appreciate the transparency from leadership.
123,Workload is manageable overall.,Communication between teams could be better.,I appreciate the transparency from leadership.,The tools we use could be improved.
124,More recognition for good work would be great.,I like the collaboration within my team.,I enjoy the team culture.,I appreciate the transparency from leadership.
125,I like the collaboration within my team.,More flexibility in work hours would help.,Processes can be simplified.,Training and development options could expand.
126,Training and development options could expand.,Processes can be simplified.,I am satisfied with my growth opportunities.,We need clearer goals and priorities.
127,Sometimes deadlines feel too tight.,I like the collaboration within my team.,Communication between teams could be better.,More recognition for good work would be great.
128,Workload is manageable overall.,More flexibility in work hours would help.,Communication between teams could be better.,The tools we use could be improved.
129,More recognition for good work would be great.,Communication between teams could be better.,We need clearer goals and priorities.,More recognition for good work would be great.
130,Communication between teams could be better.,The tools we use could be improved.,I am satisfied with my growth opportunities.,I appreciate the transparency from leadership.
131,Workload is manageable overall.,Sometimes deadlines feel too tight.,More flexibility in work hours would help.,More recognition for good work would be great.
132,I enjoy the team culture.,We need clearer goals and priorities.,The tools we use could be improved.,No additional comments.
133,We need clearer goals and priorities.,Processes can be simplified.,The tools we use could be improved.,I like the collaboration within my team.
134,We need clearer goals and priorities.,Processes can be simplified.,Sometimes deadlines feel too tight.,I feel supported by my manager.
135,Sometimes deadlines feel too tight.,I am satisfied with my growth opportunities.,I like the collaboration within my team.,Sometimes deadlines feel too tight.
136,We need clearer goals and priorities.,Training and development options could expand.,The tools we use could be improved.,I like the collaboration within my team.
137,The tools we use could be improved.,We need clearer goals and priorities.,I like the collaboration within my team.,I feel supported by my manager.
138,More flexibility in work hours would help.,The tools we use could be improved.,The tools we use could be improved.,I enjoy the team culture.
139,I enjoy the team culture.,I enjoy the team culture.,I am satisfied with my growth opportunities.,I like the collaboration within my team.
140,More recognition for good work would be great.,No additional comments.,I feel supported by my manager.,Workload is manageable overall.
141,Workload is manageable overall.,I feel supported by my manager.,No additional comments.,The tools we use could be improved.
142,I am satisfied with my growth opportunities.,We need clearer goals and priorities.,We need clearer goals and priorities.,Workload is manageable overall.
143,More flexibility in work hours would help.,Sometimes deadlines feel too tight.,The tools we use could be improved.,Sometimes deadlines feel too tight.
144,Workload is manageable overall.,I appreciate the transparency from leadership.,No additional comments.,I appreciate the transparency from leadership.
145,I appreciate the transparency from leadership.,More recognition for good work would be great.,I enjoy the team culture.,Workload is manageable overall.
146,I feel supported by my manager.,I feel supported by my manager.,Workload is manageable overall.,Communication between teams could be better.
147,More flexibility in work hours would help.,Processes can be simplified.,Training and development options could expand.,No additional comments.
148,I enjoy the team culture.,I am satisfied with my growth opportunities.,Workload is manageable overall.,Communication between teams could be better.
149,More flexibility in work hours would help.,I am satisfied with my growth opportunities.,I feel supported by my manager.,Sometimes deadlines feel too tight.
150,More flexibility in work hours would help.,More flexibility in work hours would help.,I enjoy the team culture.,Processes can be simplified.
